Name,Code,Employment2023,Employment2033,EmploymentChangePercent,AnnualWage,Handbook
Chief executives,11-1011,313.9,331.1,5.5,"206,420",https://www.bls.gov/ooh/management/top-executives.htm
General and operations managers,11-1021,"3,630.1","3,840.5",5.8,"102,950",https://www.bls.gov/ooh/management/top-executives.htm
      Legislators,11-1031,33.7,35.0,4.1,"44,810",
      Advertising and promotions managers,11-2011,22.2,21.7,-2.6,"126,960",https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm
        Marketing managers,11-2021,389.1,420.8,8.2,"161,030",https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm
        Sales managers,11-2022,584.8,619.1,5.9,"138,060",https://www.bls.gov/ooh/management/sales-managers.htm
        Public relations managers,11-2032,78.4,83.8,6.9,"138,520",https://www.bls.gov/ooh/management/public-relations-managers.htm
        Fundraising managers,11-2033,38.2,40.5,5.9,"123,480",https://www.bls.gov/ooh/management/public-relations-managers.htm
        Administrative services managers,11-3012,256.8,272.8,6.2,"108,390",https://www.bls.gov/ooh/management/administrative-services-managers.htm
        Facilities managers,11-3013,140.5,147.9,5.3,"104,690",https://www.bls.gov/ooh/management/administrative-services-managers.htm
      Computer and information systems managers,11-3021,613.5,720.4,17.4,"171,200",https://www.bls.gov/ooh/management/computer-and-information-systems-managers.htm
      Financial managers,11-3031,837.1,975.3,16.5,"161,700",https://www.bls.gov/ooh/management/financial-managers.htm
      Industrial production managers,11-3051,230.1,236.7,2.8,"121,440",https://www.bls.gov/ooh/management/industrial-production-managers.htm
      Purchasing managers,11-3061,81.3,85.4,5.1,"139,510",https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm
"      Transportation, storage, and distribution managers",11-3071,211.8,230.8,9.0,"102,010",https://www.bls.gov/ooh/management/transportation-storage-and-distribution-managers.htm
      Compensation and benefits managers,11-3111,19.1,19.5,2.1,"140,360",https://www.bls.gov/ooh/management/compensation-and-benefits-managers.htm
      Human resources managers,11-3121,208.9,222.5,6.5,"140,030",https://www.bls.gov/ooh/management/human-resources-managers.htm
      Training and development managers,11-3131,43.2,46.4,7.3,"127,090",https://www.bls.gov/ooh/management/training-and-development-managers.htm
"      Farmers, ranchers, and other agricultural managers",11-9013,856.6,842.9,-1.6,"87,980",https://www.bls.gov/ooh/management/farmers-ranchers-and-other-agricultural-managers.htm
      Construction managers,11-9021,520.9,568.5,9.1,"106,980",https://www.bls.gov/ooh/management/construction-managers.htm
"        Education and childcare administrators, preschool and daycare",11-9031,80.9,79.2,-2.1,"56,270",https://www.bls.gov/ooh/management/preschool-and-childcare-center-directors.htm
"        Education administrators, kindergarten through secondary",11-9032,316.6,315.0,-0.5,"104,070",https://www.bls.gov/ooh/management/elementary-middle-and-high-school-principals.htm
"        Education administrators, postsecondary",11-9033,216.4,222.7,2.9,"103,960",https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm
"        Education administrators, all other",11-9039,57.7,59.1,2.5,"89,040",
      Architectural and engineering managers,11-9041,210.2,221.8,5.5,"167,740",https://www.bls.gov/ooh/management/architectural-and-engineering-managers.htm
      Food service managers,11-9051,393.6,399.5,1.5,"65,310",https://www.bls.gov/ooh/management/food-service-managers.htm
        Gambling managers,11-9071,5.3,5.5,5.1,"85,580",https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm
"        Entertainment and recreation managers, except gambling",11-9072,35.8,39.7,10.8,"77,180",https://www.bls.gov/ooh/management/entertainment-and-recreation-managers.htm
      Lodging managers,11-9081,53.3,58.6,9.9,"68,130",https://www.bls.gov/ooh/management/lodging-managers.htm
      Medical and health services managers,11-9111,562.7,723.3,28.5,"117,960",https://www.bls.gov/ooh/management/medical-and-health-services-managers.htm
      Natural sciences managers,11-9121,100.1,107.6,7.5,"161,180",https://www.bls.gov/ooh/management/natural-sciences-managers.htm
      Postmasters and mail superintendents,11-9131,13.2,12.8,-3.0,"92,730",
"      Property, real estate, and community association managers",11-9141,467.1,482.2,3.2,"66,700",https://www.bls.gov/ooh/management/property-real-estate-and-community-association-managers.htm
      Social and community service managers,11-9151,199.5,215.9,8.2,"78,240",https://www.bls.gov/ooh/management/social-and-community-service-managers.htm
      Emergency management directors,11-9161,12.4,12.9,4.0,"86,130",https://www.bls.gov/ooh/management/emergency-management-directors.htm
        Funeral home managers,11-9171,35.8,37.4,4.5,"76,830",https://www.bls.gov/ooh/personal-care-and-service/funeral-service-occupations.htm
"        Personal service managers, all other",11-9179,27.9,29.8,6.9,"61,340",
"      Managers, all other",11-9199,"1,282.5","1,356.2",5.7,"136,550",
"      Agents and business managers of artists, performers, and athletes",13-1011,18.6,20.4,9.2,"96,310",
      Buyers and purchasing agents,13-1020,524.1,561.4,7.1,"75,650",https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm
"        Claims adjusters, examiners, and investigators",13-1031,345.2,330.0,-4.4,"76,790",https://www.bls.gov/ooh/business-and-financial/claims-adjusters-appraisers-examiners-and-investigators.htm
"        Insurance appraisers, auto damage",13-1032,10.5,9.5,-9.2,"76,650",https://www.bls.gov/ooh/business-and-financial/claims-adjusters-appraisers-examiners-and-investigators.htm
      Compliance officers,13-1041,403.9,425.8,5.4,"78,420",https://www.bls.gov/ooh/business-and-financial/compliance-officers.htm
      Cost estimators,13-1051,227.9,219.6,-3.6,"77,070",https://www.bls.gov/ooh/business-and-financial/cost-estimators.htm
        Human resources specialists,13-1071,933.7,"1,007.9",7.9,"72,910",https://www.bls.gov/ooh/business-and-financial/human-resources-specialists.htm
        Farm labor contractors,13-1074,1.5,1.6,6.6,"48,690",
        Labor relations specialists,13-1075,65.8,65.6,-0.3,"93,500",https://www.bls.gov/ooh/business-and-financial/labor-relations-specialists.htm
        Logisticians,13-1081,237.1,282.9,19.3,"80,880",https://www.bls.gov/ooh/business-and-financial/logisticians.htm
        Project management specialists,13-1082,973.6,"1,043.4",7.2,"100,750",https://www.bls.gov/ooh/business-and-financial/project-management-specialists.htm
      Management analysts,13-1111,"1,018.3","1,126.2",10.6,"101,190",https://www.bls.gov/ooh/business-and-financial/management-analysts.htm
"      Meeting, convention, and event planners",13-1121,149.0,158.9,6.6,"59,440",https://www.bls.gov/ooh/business-and-financial/meeting-convention-and-event-planners.htm
      Fundraisers,13-1131,125.9,133.3,5.9,"66,490",https://www.bls.gov/ooh/business-and-financial/fundraisers.htm
"      Compensation, benefits, and job analysis specialists",13-1141,103.7,111.0,7.0,"77,020",https://www.bls.gov/ooh/business-and-financial/compensation-benefits-and-job-analysis-specialists.htm
      Training and development specialists,13-1151,420.1,468.6,11.5,"65,850",https://www.bls.gov/ooh/business-and-financial/training-and-development-specialists.htm
      Market research analysts and marketing specialists,13-1161,903.4,978.3,8.3,"76,950",https://www.bls.gov/ooh/business-and-financial/market-research-analysts.htm
"      Business operations specialists, all other",13-1199,"1,181.5","1,245.3",5.4,"81,270",
      Accountants and auditors,13-2011,"1,562.0","1,653.4",5.8,"81,680",https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm
      Property appraisers and assessors,13-2020,83.9,87.1,3.9,"65,420",https://www.bls.gov/ooh/business-and-financial/appraisers-and-assessors-of-real-estate.htm
      Budget analysts,13-2031,50.8,52.7,3.9,"87,930",https://www.bls.gov/ooh/business-and-financial/budget-analysts.htm
      Credit analysts,13-2041,73.7,70.8,-3.9,"80,970",
        Financial and investment analysts,13-2051,347.4,380.5,9.5,"101,350",https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm
        Personal financial advisors,13-2052,321.0,375.9,17.1,"102,140",https://www.bls.gov/ooh/business-and-financial/personal-financial-advisors.htm
        Insurance underwriters,13-2053,118.4,113.7,-4.0,"79,880",https://www.bls.gov/ooh/business-and-financial/insurance-underwriters.htm
        Financial risk specialists,13-2054,57.5,62.3,8.4,"106,000",https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm
      Financial examiners,13-2061,65.5,79.2,21.0,"90,400",https://www.bls.gov/ooh/business-and-financial/financial-examiners.htm
        Credit counselors,13-2071,31.8,33.3,4.9,"50,480",https://www.bls.gov/ooh/business-and-financial/credit-counselors.htm
        Loan officers,13-2072,334.1,338.7,1.4,"74,180",https://www.bls.gov/ooh/business-and-financial/loan-officers.htm
"        Tax examiners and collectors, and revenue agents",13-2081,54.0,55.0,1.9,"59,740",https://www.bls.gov/ooh/business-and-financial/tax-examiners-and-collectors-and-revenue-agents.htm
        Tax preparers,13-2082,103.8,108.2,4.2,"50,560",
"      Financial specialists, all other",13-2099,129.8,137.9,6.2,"80,190",
        Computer systems analysts,15-1211,527.2,583.7,10.7,"103,790",https://www.bls.gov/ooh/computer-and-information-technology/computer-systems-analysts.htm
        Information security analysts,15-1212,180.7,239.8,32.7,"124,910",https://www.bls.gov/ooh/computer-and-information-technology/information-security-analysts.htm
      Computer and information research scientists,15-1221,36.6,46.0,25.6,"140,910",https://www.bls.gov/ooh/computer-and-information-technology/computer-and-information-research-scientists.htm
        Computer network support specialists,15-1231,166.7,178.8,7.3,"73,340",https://www.bls.gov/ooh/computer-and-information-technology/computer-support-specialists.htm
        Computer user support specialists,15-1232,725.3,762.5,5.1,"60,340",https://www.bls.gov/ooh/computer-and-information-technology/computer-support-specialists.htm
        Computer network architects,15-1241,177.8,201.7,13.4,"130,390",https://www.bls.gov/ooh/computer-and-information-technology/computer-network-architects.htm
        Database administrators,15-1242,80.5,87.1,8.2,"104,620",https://www.bls.gov/ooh/computer-and-information-technology/database-administrators.htm
        Database architects,15-1243,61.4,68.0,10.8,"135,980",https://www.bls.gov/ooh/computer-and-information-technology/database-administrators.htm
        Network and computer systems administrators,15-1244,335.4,326.6,-2.6,"96,800",https://www.bls.gov/ooh/computer-and-information-technology/network-and-computer-systems-administrators.htm
        Computer programmers,15-1251,139.4,126.0,-9.6,"98,670",https://www.bls.gov/ooh/computer-and-information-technology/computer-programmers.htm
        Software developers,15-1252,"1,692.1","1,995.7",17.9,"133,080",https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm
        Software quality assurance analysts and testers,15-1253,205.0,229.2,11.8,"102,610",https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm
        Web developers,15-1254,94.1,102.5,9.0,"90,930",https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm
        Web and digital interface designers,15-1255,128.6,138.8,7.9,"98,090",https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm
"      Computer occupations, all other",15-1299,470.9,522.0,10.8,"108,970",
      Actuaries,15-2011,30.2,36.8,21.8,"125,770",https://www.bls.gov/ooh/math/actuaries.htm
      Mathematicians,15-2021,2.5,2.5,3.7,"121,680",https://www.bls.gov/ooh/math/mathematicians-and-statisticians.htm
      Operations research analysts,15-2031,123.3,151.6,23.0,"91,290",https://www.bls.gov/ooh/math/operations-research-analysts.htm
      Statisticians,15-2041,32.4,36.2,11.8,"103,300",https://www.bls.gov/ooh/math/mathematicians-and-statisticians.htm
      Data scientists,15-2051,202.9,276.0,36.0,"112,590",https://www.bls.gov/ooh/math/data-scientists.htm
"      Mathematical science occupations, all other",15-2099,4.6,4.9,6.9,"71,490",
"        Architects, except landscape and naval",17-1011,127.3,137.2,7.8,"96,690",https://www.bls.gov/ooh/architecture-and-engineering/architects.htm
        Landscape architects,17-1012,24.7,25.8,4.7,"79,660",https://www.bls.gov/ooh/architecture-and-engineering/landscape-architects.htm
        Cartographers and photogrammetrists,17-1021,12.9,13.7,6.3,"78,380",https://www.bls.gov/ooh/architecture-and-engineering/cartographers-and-photogrammetrists.htm
        Surveyors,17-1022,52.6,55.7,5.9,"72,740",https://www.bls.gov/ooh/architecture-and-engineering/surveyors.htm
      Aerospace engineers,17-2011,68.9,73.0,6.0,"134,830",https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm
      Agricultural engineers,17-2021,1.9,2.0,7.8,"84,630",https://www.bls.gov/ooh/architecture-and-engineering/agricultural-engineers.htm
      Bioengineers and biomedical engineers,17-2031,19.7,21.2,7.4,"106,950",https://www.bls.gov/ooh/architecture-and-engineering/biomedical-engineers.htm
      Chemical engineers,17-2041,21.4,23.5,9.8,"121,860",https://www.bls.gov/ooh/architecture-and-engineering/chemical-engineers.htm
      Civil engineers,17-2051,341.8,363.9,6.5,"99,590",https://www.bls.gov/ooh/architecture-and-engineering/civil-engineers.htm
      Computer hardware engineers,17-2061,84.1,90.2,7.2,"155,020",https://www.bls.gov/ooh/architecture-and-engineering/computer-hardware-engineers.htm
        Electrical engineers,17-2071,189.1,206.3,9.1,"111,910",https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm
"        Electronics engineers, except computer",17-2072,98.7,107.6,9.1,"127,590",https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm
      Environmental engineers,17-2081,41.3,44.2,6.9,"104,170",https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineers.htm
"        Health and safety engineers, except mining safety engineers and inspectors",17-2111,23.1,24.3,5.1,"109,660",https://www.bls.gov/ooh/architecture-and-engineering/health-and-safety-engineers.htm
        Industrial engineers,17-2112,336.6,377.5,12.2,"101,140",https://www.bls.gov/ooh/architecture-and-engineering/industrial-engineers.htm
      Marine engineers and naval architects,17-2121,10.1,11.0,8.0,"105,670",https://www.bls.gov/ooh/architecture-and-engineering/marine-engineers-and-naval-architects.htm
      Materials engineers,17-2131,25.0,26.9,7.4,"108,310",https://www.bls.gov/ooh/architecture-and-engineering/materials-engineers.htm
      Mechanical engineers,17-2141,291.9,323.9,11.0,"102,320",https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm
"      Mining and geological engineers, including mining safety engineers",17-2151,7.1,7.3,2.0,"101,020",https://www.bls.gov/ooh/architecture-and-engineering/mining-and-geological-engineers.htm
      Nuclear engineers,17-2161,13.4,13.3,-0.8,"127,520",https://www.bls.gov/ooh/architecture-and-engineering/nuclear-engineers.htm
      Petroleum engineers,17-2171,20.8,21.3,2.4,"141,280",https://www.bls.gov/ooh/architecture-and-engineering/petroleum-engineers.htm
"      Engineers, all other",17-2199,161.1,169.2,5.0,"117,750",
        Architectural and civil drafters,17-3011,112.3,113.6,1.1,"64,280",https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm
        Electrical and electronics drafters,17-3012,23.2,24.2,4.1,"73,720",https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm
        Mechanical drafters,17-3013,50.4,47.9,-4.9,"68,510",https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm
"        Drafters, all other",17-3019,18.5,17.4,-5.7,"62,010",https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm
        Aerospace engineering and operations technologists and technicians,17-3021,11.0,11.9,7.9,"79,830",https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineering-and-operations-technicians.htm
        Civil engineering technologists and technicians,17-3022,66.0,67.1,1.8,"64,200",https://www.bls.gov/ooh/architecture-and-engineering/civil-engineering-technicians.htm
        Electrical and electronic engineering technologists and technicians,17-3023,99.6,102.6,3.0,"77,180",https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineering-technicians.htm
        Electro-mechanical and mechatronics technologists and technicians,17-3024,15.8,15.6,-1.2,"70,760",https://www.bls.gov/ooh/architecture-and-engineering/electro-mechanical-technicians.htm
        Environmental engineering technologists and technicians,17-3025,14.2,14.5,2.3,"58,890",https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineering-technicians.htm
        Industrial engineering technologists and technicians,17-3026,74.5,77.6,4.1,"64,790",https://www.bls.gov/ooh/architecture-and-engineering/industrial-engineering-technicians.htm
        Mechanical engineering technologists and technicians,17-3027,39.9,40.7,1.9,"68,730",https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineering-technicians.htm
        Calibration technologists and technicians,17-3028,13.8,14.5,5.5,"65,040",https://www.bls.gov/ooh/installation-maintenance-and-repair/calibration-technologists-and-technicians.htm
"        Engineering technologists and technicians, except drafters, all other",17-3029,69.5,72.6,4.4,"77,390",
      Surveying and mapping technicians,17-3031,57.4,60.6,5.6,"51,940",https://www.bls.gov/ooh/architecture-and-engineering/surveying-and-mapping-technicians.htm
        Animal scientists,19-1011,2.5,2.7,7.9,"79,120",https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-scientists.htm
        Food scientists and technologists,19-1012,14.5,15.7,8.9,"85,310",https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-scientists.htm
        Soil and plant scientists,19-1013,20.3,21.7,7.2,"71,410",https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-scientists.htm
        Biochemists and biophysicists,19-1021,35.7,39.0,9.0,"103,650",https://www.bls.gov/ooh/life-physical-and-social-science/biochemists-and-biophysicists.htm
        Microbiologists,19-1022,23.2,24.8,6.7,"87,330",https://www.bls.gov/ooh/life-physical-and-social-science/microbiologists.htm
        Zoologists and wildlife biologists,19-1023,18.8,19.6,4.4,"72,860",https://www.bls.gov/ooh/life-physical-and-social-science/zoologists-and-wildlife-biologists.htm
"        Biological scientists, all other",19-1029,66.8,70.6,5.6,"93,330",
        Conservation scientists,19-1031,25.9,27.4,5.6,"67,950",https://www.bls.gov/ooh/life-physical-and-social-science/conservation-scientists.htm
        Foresters,19-1032,15.4,15.9,3.0,"70,660",https://www.bls.gov/ooh/life-physical-and-social-science/conservation-scientists.htm
        Epidemiologists,19-1041,11.0,13.1,18.8,"83,980",https://www.bls.gov/ooh/life-physical-and-social-science/epidemiologists.htm
"        Medical scientists, except epidemiologists",19-1042,146.6,163.4,11.5,"100,590",https://www.bls.gov/ooh/life-physical-and-social-science/medical-scientists.htm
"      Life scientists, all other",19-1099,8.0,8.5,6.5,"87,800",
        Astronomers,19-2011,2.4,2.6,7.4,"132,170",https://www.bls.gov/ooh/life-physical-and-social-science/physicists-and-astronomers.htm
        Physicists,19-2012,21.1,22.6,7.2,"166,290",https://www.bls.gov/ooh/life-physical-and-social-science/physicists-and-astronomers.htm
      Atmospheric and space scientists,19-2021,9.9,10.5,5.6,"97,450",https://www.bls.gov/ooh/life-physical-and-social-science/atmospheric-scientists-including-meteorologists.htm
        Chemists,19-2031,87.2,93.8,7.6,"84,150",https://www.bls.gov/ooh/life-physical-and-social-science/chemists-and-materials-scientists.htm
        Materials scientists,19-2032,9.2,10.0,8.7,"104,160",https://www.bls.gov/ooh/life-physical-and-social-science/chemists-and-materials-scientists.htm
"        Environmental scientists and specialists, including health",19-2041,84.6,90.7,7.3,"80,060",https://www.bls.gov/ooh/life-physical-and-social-science/environmental-scientists-and-specialists.htm
"        Geoscientists, except hydrologists and geographers",19-2042,26.0,27.4,5.5,"99,240",https://www.bls.gov/ooh/life-physical-and-social-science/geoscientists.htm
        Hydrologists,19-2043,6.5,6.7,2.8,"92,060",https://www.bls.gov/ooh/life-physical-and-social-science/hydrologists.htm
"      Physical scientists, all other",19-2099,34.1,34.9,2.3,"117,960",
      Economists,19-3011,17.5,18.4,5.1,"115,440",https://www.bls.gov/ooh/life-physical-and-social-science/economists.htm
      Survey researchers,19-3022,9.7,9.7,-0.2,"63,380",https://www.bls.gov/ooh/life-physical-and-social-science/survey-researchers.htm
        Industrial-organizational psychologists,19-3032,8.6,9.1,5.8,"109,840",https://www.bls.gov/ooh/life-physical-and-social-science/psychologists.htm
        Clinical and counseling psychologists,19-3033,76.8,87.0,13.3,"95,830",https://www.bls.gov/ooh/life-physical-and-social-science/psychologists.htm
        School psychologists,19-3034,65.5,66.0,0.7,"86,930",https://www.bls.gov/ooh/life-physical-and-social-science/psychologists.htm
"        Psychologists, all other",19-3039,56.6,59.4,5.0,"117,580",https://www.bls.gov/ooh/life-physical-and-social-science/psychologists.htm
      Sociologists,19-3041,3.3,3.6,6.9,"101,690",https://www.bls.gov/ooh/life-physical-and-social-science/sociologists.htm
      Urban and regional planners,19-3051,45.2,47.1,4.3,"83,720",https://www.bls.gov/ooh/life-physical-and-social-science/urban-and-regional-planners.htm
        Anthropologists and archeologists,19-3091,8.7,9.3,7.8,"64,910",https://www.bls.gov/ooh/life-physical-and-social-science/anthropologists-and-archeologists.htm
        Geographers,19-3092,1.6,1.7,2.5,"97,200",https://www.bls.gov/ooh/life-physical-and-social-science/geographers.htm
        Historians,19-3093,3.4,3.6,5.7,"74,050",https://www.bls.gov/ooh/life-physical-and-social-science/historians.htm
        Political scientists,19-3094,6.2,6.3,2.6,"139,380",https://www.bls.gov/ooh/life-physical-and-social-science/political-scientists.htm
"        Social scientists and related workers, all other",19-3099,39.2,40.6,3.4,"100,340",
        Agricultural technicians,19-4012,19.6,20.8,5.9,"46,790",https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-science-technicians.htm
        Food science technicians,19-4013,25.1,26.9,7.3,"49,430",https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-science-technicians.htm
      Biological technicians,19-4021,83.1,88.6,6.6,"52,000",https://www.bls.gov/ooh/life-physical-and-social-science/biological-technicians.htm
      Chemical technicians,19-4031,58.3,61.4,5.5,"57,790",https://www.bls.gov/ooh/life-physical-and-social-science/chemical-technicians.htm
"        Environmental science and protection technicians, including health",19-4042,33.9,36.2,7.0,"49,490",https://www.bls.gov/ooh/life-physical-and-social-science/environmental-science-and-protection-technicians.htm
"        Geological technicians, except hydrologic technicians",19-4043,9.2,9.5,3.8,"48,390",https://www.bls.gov/ooh/life-physical-and-social-science/geological-and-petroleum-technicians.htm
        Hydrologic technicians,19-4044,3.2,3.3,2.4,"58,570",https://www.bls.gov/ooh/life-physical-and-social-science/geological-and-petroleum-technicians.htm
      Nuclear technicians,19-4051,5.4,5.1,-6.2,"104,240",https://www.bls.gov/ooh/life-physical-and-social-science/nuclear-technicians.htm
      Social science research assistants,19-4061,37.5,39.9,6.3,"58,040",
      Forest and conservation technicians,19-4071,31.3,31.8,1.7,"54,310",
        Forensic science technicians,19-4092,18.6,21.2,13.6,"67,440",https://www.bls.gov/ooh/life-physical-and-social-science/forensic-science-technicians.htm
"        Life, physical, and social science technicians, all other",19-4099,83.3,88.2,5.8,"60,130",
      Occupational health and safety specialists,19-5011,125.9,144.7,14.9,"83,910",https://www.bls.gov/ooh/healthcare/occupational-health-and-safety-specialists-and-technicians.htm
      Occupational health and safety technicians,19-5012,27.6,30.8,11.4,"58,440",https://www.bls.gov/ooh/healthcare/occupational-health-and-safety-specialists-and-technicians.htm
"        Educational, guidance, and career counselors and advisors",21-1012,360.8,377.0,4.5,"65,140",https://www.bls.gov/ooh/community-and-social-service/school-and-career-counselors.htm
        Marriage and family therapists,21-1013,76.0,88.2,16.2,"63,780",https://www.bls.gov/ooh/community-and-social-service/marriage-and-family-therapists.htm
        Rehabilitation counselors,21-1015,87.6,89.2,1.8,"46,110",https://www.bls.gov/ooh/community-and-social-service/rehabilitation-counselors.htm
"        Substance abuse, behavioral disorder, and mental health counselors",21-1018,449.8,534.3,18.8,"59,190",https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm
"        Counselors, all other",21-1019,65.9,75.4,14.4,"49,830",
"        Child, family, and school social workers",21-1021,365.9,383.8,4.9,"58,570",https://www.bls.gov/ooh/community-and-social-service/social-workers.htm
        Healthcare social workers,21-1022,193.2,211.9,9.7,"68,090",https://www.bls.gov/ooh/community-and-social-service/social-workers.htm
        Mental health and substance abuse social workers,21-1023,123.7,138.1,11.6,"60,060",https://www.bls.gov/ooh/community-and-social-service/social-workers.htm
"        Social workers, all other",21-1029,69.0,72.8,5.5,"69,480",https://www.bls.gov/ooh/community-and-social-service/social-workers.htm
        Health education specialists,21-1091,62.1,66.4,7.0,"63,000",https://www.bls.gov/ooh/community-and-social-service/health-educators.htm
        Probation officers and correctional treatment specialists,21-1092,90.7,94.0,3.6,"64,520",https://www.bls.gov/ooh/community-and-social-service/probation-officers-and-correctional-treatment-specialists.htm
        Social and human service assistants,21-1093,433.0,467.4,7.9,"45,120",https://www.bls.gov/ooh/community-and-social-service/social-and-human-service-assistants.htm
        Community health workers,21-1094,63.4,71.7,13.1,"51,030",https://www.bls.gov/ooh/community-and-social-service/community-health-workers.htm
"        Community and social service specialists, all other",21-1099,103.6,109.8,5.9,"54,940",
      Clergy,21-2011,260.1,266.7,2.5,"60,820",
"      Directors, religious activities and education",21-2021,155.9,159.4,2.2,"54,840",
"      Religious workers, all other",21-2099,83.8,85.7,2.2,"45,120",
        Lawyers,23-1011,859.0,903.3,5.2,"151,160",https://www.bls.gov/ooh/legal/lawyers.htm
        Judicial law clerks,23-1012,15.6,16.1,3.4,"60,400",
"        Administrative law judges, adjudicators, and hearing officers",23-1021,15.8,16.1,2.1,"115,230",https://www.bls.gov/ooh/legal/judges-and-hearing-officers.htm
"        Arbitrators, mediators, and conciliators",23-1022,8.2,8.7,6.1,"67,710",https://www.bls.gov/ooh/legal/arbitrators-mediators-and-conciliators.htm
"        Judges, magistrate judges, and magistrates",23-1023,25.9,26.8,3.4,"156,210",https://www.bls.gov/ooh/legal/judges-and-hearing-officers.htm
      Paralegals and legal assistants,23-2011,366.2,370.5,1.2,"61,010",https://www.bls.gov/ooh/legal/paralegals-and-legal-assistants.htm
"        Title examiners, abstractors, and searchers",23-2093,56.3,56.9,1.0,"54,980",
"        Legal support workers, all other",23-2099,47.3,47.8,1.0,"68,760",
"      Business teachers, postsecondary",25-1011,104.9,111.9,6.7,"97,270",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Computer science teachers, postsecondary",25-1021,45.0,47.7,6.1,"96,690",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Mathematical science teachers, postsecondary",25-1022,58.5,60.4,3.3,"79,350",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Architecture teachers, postsecondary",25-1031,10.7,11.0,3.2,"101,480",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Engineering teachers, postsecondary",25-1032,48.8,53.3,9.2,"106,120",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Agricultural sciences teachers, postsecondary",25-1041,9.5,9.9,4.8,"86,350",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Biological science teachers, postsecondary",25-1042,64.9,70.3,8.4,"83,460",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Forestry and conservation science teachers, postsecondary",25-1043,1.6,1.7,5.0,"100,830",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,14.4,15.0,3.8,"101,390",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Chemistry teachers, postsecondary",25-1052,25.4,26.2,3.4,"86,220",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Environmental science teachers, postsecondary",25-1053,9.1,9.4,3.9,"87,710",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Physics teachers, postsecondary",25-1054,17.7,18.4,3.7,"97,360",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Anthropology and archeology teachers, postsecondary",25-1061,6.3,6.5,3.8,"95,770",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Area, ethnic, and cultural studies teachers, postsecondary",25-1062,14.7,15.3,3.6,"84,290",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Economics teachers, postsecondary",25-1063,15.5,16.0,3.5,"119,980",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
"        Geography teachers, postsecondary",25-1064,4.3,4.5,4.3,"86,730",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
